num	section	title	size	wave	files	acceptance
1	1	Charge-to-ready for the whole set in one line	S	1	web/components/FleetReadyCountdown.tsx|web/components/FleetReadyCountdown.test.tsx|web/lib/fleet-ready-countdown.ts|web/lib/fleet-ready-countdown.test.ts	Renders "6 ready in 12 minutes" from observed charge only; says nothing when no honest forecast exists (ADR-0007)
2	1	Overnight charge plan for tomorrow's periods	M	4	web/lib/charge-plan.ts|web/components/ChargePlanPanel.tsx	Lists which packs go on charge tonight to meet tomorrow's first period
3	1	Will this lesson fit? battery budget against planned length	M	4	web/lib/lesson-fit.ts|web/components/LessonFitNotice.tsx	Warns before the lesson starts when the budget cannot cover the planned minutes
4	1	Pre-flight sweep of every craft that is not Ready	M	4	web/components/PreFlightSweep.tsx|web/lib/preflight-sweep.ts	One list, each row saying what to do about that craft
5	1	Tomorrow's periods shown on the Fleet screen	M	4	web/components/TomorrowPeriods.tsx|web/lib/period-schedule.ts	Next day's periods render from the saved schedule
6	1	Charger slot map	S	4	web/components/ChargerSlotMap.tsx|web/lib/charger-slots.ts	Which pack sits in which slot, editable
7	1	Mark a craft as in the cupboard so it stops generating noise	S	1	web/lib/craft-stowed.ts|web/lib/craft-stowed.test.ts|web/components/StowCraftToggle.tsx|web/components/StowCraftToggle.test.tsx	A stowed craft is excluded from Not Ready counts and says why
8	1	Room setup photo saved per room	S	4	web/lib/room-photo.ts|web/components/RoomPhotoPanel.tsx	One photo per room, stored locally
9	1	Pad layout template per room	M	4	web/lib/pad-layout.ts|web/components/PadLayoutPanel.tsx	Layout recalled when that room is selected
10	1	Fleet headcount before class	S	1	web/components/FleetHeadcountCheck.tsx|web/components/FleetHeadcountCheck.test.tsx|web/lib/fleet-headcount.ts|web/lib/fleet-headcount.test.ts	Tick each craft present; the count and the missing list are shown
11	1	Missing-craft alert when one did not come back	S	1	web/lib/missing-craft.ts|web/lib/missing-craft.test.ts|web/components/MissingCraftNotice.tsx|web/components/MissingCraftNotice.test.tsx	Names any craft absent since the last closed lesson
12	1	Nominate the spare craft	S	1	web/lib/spare-nomination.ts|web/lib/spare-nomination.test.ts|web/components/SpareNomination.tsx|web/components/SpareNomination.test.tsx	One craft can be marked the swap; shown during prep
13	1	Cold-room charge note	XS	1	web/components/ColdRoomNote.tsx|web/components/ColdRoomNote.test.tsx	One quiet line explaining low winter readings; does not claim a temperature it cannot measure
14	1	Link health check before the class walks in	S	1	web/components/LinkHealthCheck.tsx|web/components/LinkHealthCheck.test.tsx|web/lib/link-health.ts|web/lib/link-health.test.ts	Reports connected, connecting or unreachable in Teacher words
15	1	Prep complete is one green line, not a form	S	4	web/components/PrepCompleteLine.tsx	A single derived sentence replaces the checklist
16	1	Prep time estimate	S	4	web/lib/prep-estimate.ts|web/components/PrepEstimate.tsx	Minutes until the fleet can start, from observed charge
17	1	Reorder alert when spares drop below a threshold	S	4	web/lib/spares-threshold.ts|web/components/SparesReorderNotice.tsx	Warns once below the configured level
18	1	Friday prep digest for next week	M	4	web/lib/prep-digest.ts|web/components/PrepDigest.tsx	Printable summary of next week's needs
19	1	Class size against fleet size warning	S	1	web/lib/class-size-warning.ts|web/lib/class-size-warning.test.ts|web/components/ClassSizeWarning.tsx|web/components/ClassSizeWarning.test.tsx	States pupils per craft and suggests rotations when over
20	1	Rotation plan generated from class size and length	M	4	web/lib/rotation-plan.ts|web/components/RotationPlanPanel.tsx	Produces a fair rotation for the period
21	1	Print the rotation plan	S	4	web/components/RotationPlanPrint.tsx	Prints without board chrome
22	1	Last lesson's unfinished business surfaced at prep	S	1	web/components/PrepRemedialRecall.tsx|web/components/PrepRemedialRecall.test.tsx	Shows the remedial queue during prep, not only after
23	1	Which room this period is in	S	4	web/lib/room-booking.ts|web/components/RoomBookingLine.tsx	Room name shown against the period
24	1	Prep on a phone while walking to the room	M	4	web/components/PrepMobileLayout.tsx	Prep surface is usable at phone width
25	2	Assign everyone in one tap in board order	S	1	web/components/AssignEveryoneButton.tsx|web/components/AssignEveryoneButton.test.tsx|web/lib/assign-everyone.ts|web/lib/assign-everyone.test.ts	Fills every free craft from the roster in board order; reports how many were assigned
26	2	Assign by table or group	M	4	web/lib/group-assign.ts|web/components/GroupAssignPanel.tsx	A whole table is assigned in one action
27	2	Drag a name onto a craft	M	4	web/components/AssignmentDragLayer.tsx	Pointer and keyboard both work
28	2	Undo the last assignment	XS	1	web/lib/assignment-undo.ts|web/lib/assignment-undo.test.ts|web/components/AssignmentUndoButton.tsx|web/components/AssignmentUndoButton.test.tsx	One step of undo restores the previous assignment exactly
29	2	Swap two pupils in one action	S	1	web/components/SwapPupilsControl.tsx|web/components/SwapPupilsControl.test.tsx	Uses the existing swapStudentAssignments; both strips update
30	2	Absent pupil returns their craft to the waiting list	S	1	web/lib/absent-reassign.ts|web/lib/absent-reassign.test.ts|web/components/AbsentReassignNotice.tsx|web/components/AbsentReassignNotice.test.tsx	Marking absent frees the craft and names who is next
31	2	Waiting list showing who flies next	S	1	web/components/WaitingList.tsx|web/components/WaitingList.test.tsx|web/lib/waiting-list.ts|web/lib/waiting-list.test.ts	Ordered list of unassigned pupils; empty state explains itself
32	2	Assignment card for the wall	S	1	web/app/(app)/walls/assignments/page.tsx|web/components/walls/AssignmentWall.tsx|web/components/walls/AssignmentWall.test.tsx	Pupil to craft, readable across a room
33	2	Read the assignments aloud	S	4	web/components/AssignmentReadout.tsx	Speaks the list; silent when the browser has no voice
34	2	Pronunciation note per pupil	XS	1	web/lib/pupil-pronunciation.ts|web/lib/pupil-pronunciation.test.ts	A note field per StudentRecord, shown beside the name
35	2	Preferred name field	XS	1	web/lib/pupil-preferred-name.ts|web/lib/pupil-preferred-name.test.ts	Preferred name displays everywhere the name displays
36	2	Optional pupil photo on the strip	M	4	web/lib/pupil-photo.ts|web/components/PupilPhoto.tsx	Local only, opt-in, never leaves the laptop
37	2	Today's objective in one sentence on the wall	S	1	web/app/(app)/walls/objective/page.tsx|web/components/walls/ObjectiveWall.tsx|web/components/walls/ObjectiveWall.test.tsx	One sentence, large, from the running lesson
38	2	Safety brief checklist shown to the class	S	1	web/components/SafetyBriefPanel.tsx|web/components/SafetyBriefPanel.test.tsx|web/lib/safety-brief.ts|web/lib/safety-brief.test.ts	Fixed list of classroom rules, tickable, resets each lesson
39	2	Countdown to launch on the wall	S	1	web/app/(app)/walls/launch/page.tsx|web/components/walls/LaunchCountdownWall.tsx|web/components/walls/LaunchCountdownWall.test.tsx	Counts down and says Go; reduced motion respected
40	2	Hands off until the light goes green	S	4	web/components/HandsOffGate.tsx	A visible gate the Teacher releases
41	2	First-flight pupils flagged	S	1	web/lib/first-flight-flag.ts|web/lib/first-flight-flag.test.ts|web/components/FirstFlightBadge.tsx|web/components/FirstFlightBadge.test.tsx	A pupil with no prior lesson record is marked
42	2	Pupils back from absence flagged	S	1	web/lib/returning-pupil.ts|web/lib/returning-pupil.test.ts|web/components/ReturningPupilBadge.tsx|web/components/ReturningPupilBadge.test.tsx	Marks a pupil absent last lesson but present now
43	2	Buddy pairing for a nervous flyer	S	4	web/lib/buddy-pairing.ts|web/components/BuddyPairingPanel.tsx	Two pupils can be tied to one craft
44	2	Start the lesson from the wall	M	4	web/components/walls/StartLessonFromWall.tsx	Lesson starts without touching the laptop
45	3	One line that answers is everything fine	S	1	web/components/FleetAllWellLine.tsx|web/components/FleetAllWellLine.test.tsx|web/lib/fleet-all-well.ts|web/lib/fleet-all-well.test.ts	One derived sentence; renders calmly at zero problems (DELIBERATE-POSITIONS 3)
46	3	Each strip shows what that pupil should be doing now	M	4	web/lib/strip-intent.ts|web/components/StripIntent.tsx	Exercise name beside the flight phase (B6)
47	3	Time left in the current exercise on every strip	S	1	web/lib/exercise-remaining.ts|web/lib/exercise-remaining.test.ts|web/components/ExerciseRemaining.tsx|web/components/ExerciseRemaining.test.tsx	Counts down per exercise; silent when no duration was set
48	3	Who has not taken off yet	S	1	web/lib/not-yet-airborne.ts|web/lib/not-yet-airborne.test.ts|web/components/NotYetAirborneNotice.tsx|web/components/NotYetAirborneNotice.test.tsx	Names grounded craft with an assigned pupil after the lesson starts
49	3	Who is hovering and doing nothing	M	4	web/lib/idle-hover.ts|web/components/IdleHoverNotice.tsx	Detects sustained position hold with no altitude change
50	3	Who has been up longest	S	1	web/lib/longest-airborne.ts|web/lib/longest-airborne.test.ts|web/components/LongestAirborne.tsx|web/components/LongestAirborne.test.tsx	Names the craft airborne longest with its duration
51	3	Live flight time per pupil this lesson	S	1	web/lib/pupil-airtime.ts|web/lib/pupil-airtime.test.ts|web/components/PupilAirtime.tsx|web/components/PupilAirtime.test.tsx	Accumulates airborne seconds per assigned pupil for the running lesson
52	3	Fair-share warning when one pupil has double the airtime	M	4	web/lib/fair-share.ts|web/components/FairShareNotice.tsx	Warns once when the spread exceeds the configured ratio
53	3	Scheduled quiet window	S	4	web/lib/quiet-schedule.ts|web/components/QuietSchedulePanel.tsx	Quiet mode turns itself on and off at set times
54	3	One-hand mode with bigger targets	M	4	web/lib/one-hand-mode.ts|web/components/OneHandModeToggle.tsx	Touch targets grow without changing layout order
55	3	Tablet layout for walking the room	M	4	web/components/TabletControlLayout.tsx	Control is usable at tablet width
56	3	Phone layout for a pocket check	M	4	web/components/PhoneCheckLayout.tsx	A read-only summary at phone width
57	3	Lock the screen so a pupil cannot press Stop	S	1	web/lib/screen-lock.ts|web/lib/screen-lock.test.ts|web/components/ScreenLockToggle.tsx|web/components/ScreenLockToggle.test.tsx	While locked every Command control is disabled and says why
